[11:52:16.513] [APP-INFO] 已刷新串口: COM7, COM16, COM22, COM21, COM14
[11:52:16.514] [APP-INFO] log file: E:\Renesas\RA6M5-Robot\Robot_FreeRTOS - Arm\UpperComputer\dist\logs\ra6m5_upper_console_20260706_115216.log
[11:52:20.670] [ARM-INFO] opened COM7 @ 115200
[11:52:21.288] [JETSON-INFO] opened COM14 @ 115200
[11:52:21.291] [JETSON-INFO] heartbeat started: 200 ms
[11:52:21.292] [JETSON-TX] HEARTBEAT: A5 5A 01 01 01 04 A8 0E 77 02 86 84
[11:52:21.340] [ARM-RX] Horco CMSIS-DAP V2
[11:52:21.340] [ARM-RX] Ver: Release 0.2
[11:52:21.340] [ARM-RX] The DAPLink is an open sou[JETSON_RX] heartbeat seq=1
[11:52:21.493] [JETSON-TX] HEARTBEAT: A5 5A 01 01 02 04 73 0F 77 02 ED 93
[11:52:21.526] [ARM-RX] [JETSON_RX] heartbeat seq=2
[11:52:21.695] [JETSON-TX] HEARTBEAT: A5 5A 01 01 03 04 3F 10 77 02 CB 14
[11:52:21.713] [ARM-RX] [JETSON_RX] heartbeat seq=3
[11:52:21.896] [JETSON-TX] HEARTBEAT: A5 5A 01 01 04 04 FA 10 77 02 F6 6F
[11:52:21.961] [ARM-RX] [JETSON_RX] heartbeat seq=4
[11:52:22.097] [JETSON-TX] HEARTBEAT: A5 5A 01 01 05 04 C5 11 77 02 AA 6A
[11:52:22.146] [ARM-RX] [JETSON_RX] heartbeat seq=5
[11:52:22.298] [JETSON-TX] HEARTBEAT: A5 5A 01 01 06 04 90 12 77 02 4B 95
[11:52:22.332] [ARM-RX] [JETSON_RX] heartbeat seq=6
[11:52:22.499] [JETSON-TX] HEARTBEAT: A5 5A 01 01 07 04 5B 13 77 02 25 A0
[11:52:22.519] [ARM-RX] [JETSON_RX] heartbeat seq=7
[11:52:22.700] [JETSON-TX] HEARTBEAT: A5 5A 01 01 08 04 27 14 77 02 8D 0E
[11:52:22.765] [ARM-RX] [JETSON_RX] heartbeat seq=8
[11:52:22.901] [JETSON-TX] HEARTBEAT: A5 5A 01 01 09 04 F2 14 77 02 B4 D3
[11:52:22.953] [ARM-RX] [JETSON_RX] heartbeat seq=9
[11:52:23.102] [JETSON-TX] HEARTBEAT: A5 5A 01 01 0A 04 BD 15 77 02 F3 F4
[11:52:23.139] [ARM-RX] [JETSON_RX] heartbeat seq=10
[11:52:23.303] [JETSON-TX] HEARTBEAT: A5 5A 01 01 0B 04 78 16 77 02 3E E9
[11:52:23.329] [ARM-RX] [JETSON_RX] heartbeat seq=11
[11:52:23.504] [JETSON-TX] HEARTBEAT: A5 5A 01 01 0C 04 43 17 77 02 63 BA
[11:52:23.516] [ARM-RX] [JETSON_RX] heartbeat seq=12
[11:52:23.705] [JETSON-TX] HEARTBEAT: A5 5A 01 01 0D 04 0F 18 77 02 44 F8
[11:52:23.766] [ARM-RX] [JETSON_RX] heartbeat seq=13
[11:52:23.906] [JETSON-TX] HEARTBEAT: A5 5A 01 01 0E 04 DA 18 77 02 7C C7
[11:52:23.952] [ARM-RX] [JETSON_RX] heartbeat seq=14
[11:52:24.107] [JETSON-TX] HEARTBEAT: A5 5A 01 01 0F 04 A5 19 77 02 35 02
[11:52:24.138] [ARM-RX] [JETSON_RX] heartbeat seq=15
[11:52:24.308] [JETSON-TX] HEARTBEAT: A5 5A 01 01 10 04 70 1A 77 02 FF 61
[11:52:24.323] [ARM-RX] [JETSON_RX] heartbeat seq=16
[11:52:24.509] [JETSON-TX] HEARTBEAT: A5 5A 01 01 11 04 3B 1B 77 02 B8 94
[11:52:24.571] [ARM-RX] [JETSON_RX] heartbeat seq=17
[11:52:24.710] [JETSON-TX] HEARTBEAT: A5 5A 01 01 12 04 F7 1B 77 02 87 F7
[11:52:24.758] [ARM-RX] [JETSON_RX] heartbeat seq=18
[11:52:24.911] [JETSON-TX] HEARTBEAT: A5 5A 01 01 13 04 C2 1C 77 02 38 2B
[11:52:24.945] [ARM-RX] [JETSON_RX] heartbeat seq=19
[11:52:25.112] [JETSON-TX] HEARTBEAT: A5 5A 01 01 14 04 8D 1D 77 02 7E 88
[11:52:25.133] [ARM-RX] [JETSON_RX] heartbeat seq=20
[11:52:25.313] [JETSON-TX] HEARTBEAT: A5 5A 01 01 15 04 58 1E 77 02 B7 55
[11:52:25.380] [ARM-RX] [JETSON_RX] heartbeat seq=21
[11:52:25.514] [JETSON-TX] HEARTBEAT: A5 5A 01 01 16 04 23 1F 77 02 FE 42
[11:52:25.566] [ARM-RX] [JETSON_RX] heartbeat seq=22
[11:52:25.715] [JETSON-TX] HEARTBEAT: A5 5A 01 01 17 04 EE 1F 77 02 C1 3F
[11:52:25.728] [JETSON-INFO] heartbeat stopped
[11:52:25.753] [ARM-RX] [JETSON_RX] heartbeat seq=23
[11:52:29.036] [JETSON-TX] TARGET_CTRL_START_NEW: A5 5A 01 02 18 01 01 58 2F
[11:52:29.047] [ARM-RX] [JETSON_RX] target_ctrl=1
[11:52:29.108] [JETSON-RX] A5 5A 01 81 18 03 04 01 00 75 C6 A5 5A 01 FE 18 01 01 68 7F
[11:52:29.108] [JETSON-STATUS] TARGET_CTRL_ON: A5 5A 01 81 18 03 04 01 00 75 C6
[11:52:29.110] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.927] [JETSON-RX] A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE
[11:52:29.927] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.928] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.928] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.928] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.929] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.929] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.929] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.930] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.930] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.930] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.932] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.932] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.932] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.932] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.932] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.933] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.933] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.933] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.933] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.934] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.934] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.934] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.935] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.935] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.935] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.935] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.937] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:29.937] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
